city,lat,lon
Martoong,34.63518499,72.74545789
Mashabbrum,35.32025149,76.92004962
Mashkai,26.97029833,65.59145799
Mashkhel,27.76724743,63.33909532
Mastuj,36.32710201,72.63010692
Mastung,29.79922778,66.73695767
Matiari,25.63923958,68.52797719
Matli,25.13087496,68.81250651
Matta Kharirai,35.04787094,72.41360311
Matta Sebujni,35.03142224,72.27015956
Mawand,29.75230493,68.79940636
Meero Khan,27.75862839,67.92756249
Mehar,27.18983015,67.78258401
Mehrab Pur,27.05098014,68.36764073
Mekhtar,30.51602367,69.21965662
Mian Channu,30.33301812,72.30626705
Mianwali,32.63430511,71.67272825
Minchinabad,30.12441638,73.62108169
Mir Ali,32.97157724,70.26131349
Miran Shah,32.99793077,70.02198654
Mirpur,33.1799092,73.79321258
Mirpur Bathoro,24.79588224,68.23863875
Mirpur Khas,25.49715115,68.96835908
Mirpur Mathelo,27.8471394,69.45442194
Mirpur Sakro,24.58687687,67.6327106
Miryan,32.89909734,70.5747891
Mithi,24.79140617,69.80644213
Mola,28.01871126,67.05099611
Mong,33.78694137,73.62274723
Moro,26.72107683,67.96175166
Mulagori,34.11758647,71.31314734
Mulkhow,36.46304021,72.21140174
Multan City,30.17787707,71.43442781
Multan Saddar,30.11416264,71.63478768
Mumtazabad,33.91860832,74.01765773
Munda,34.82219923,71.70224028
Muridke,31.90186642,74.51873405
Murree,33.87136562,73.410509
Musakhel,31.06979049,69.90310403
Muslim Bagh,31.00227356,67.91908499
Muzaffarabad,34.26404049,73.60983474
Muzaffargarh,30.15319936,71.16531105
Naal,27.10649807,66.21896863
Nag,27.49829582,65.24406463
Nagar,36.16528336,74.90946185
Nagar Parkar,24.64322054,70.78453622
Nankana Sahib,31.31094439,73.8388503
Nara,26.7855593,69.04996884
Narowal,32.07877565,74.80924691
Naseerabad,34.43931061,73.61505652
Nasir Abad,27.43698224,67.9818449
Naushahro Feroze,26.76607421,68.15970945
Naushera,32.59379404,72.22062004
Nawabshah,26.2741975,68.3544565
Nawagai,34.72609367,71.29088189
New Karachi Town,24.9834182,67.06979766
New Sukkur,27.79946215,68.85222159
Nokkundi,28.68475457,62.92650894
Noorpur,31.8724709,71.96043167
North Nazimabad Town,24.93422815,67.03815024
Nowshera,33.97631056,71.95997423
Nowshera Virkan,32.00069758,73.99434328
Nushki,29.44681298,65.73250908
Oghi,34.45501311,72.99278
Okara,30.80254742,73.410364
Orangi Town,25.00499372,66.99994131
Ormara,25.3791452,64.69725455
Pabbi,33.93925505,71.8183382
Paharpur,32.23873114,70.96043575
Pakpattan,30.34344583,73.44512497
Palas,35.06742567,73.1789703
Pallandari,33.68633529,73.67252498
Pandiali,34.44978483,71.44653291
Panjgur,27.04336755,63.83687731
Panjpai,30.01540571,66.4609339
Pano Aqil,27.83606886,69.05414524
Paroa,31.49326589,70.73542927
Pasni,25.40624187,63.03448619
Pasrur,32.27038333,74.65002355
Pattan,35.18294511,73.02928737
Pattoki,31.12101948,73.85306415
Phalia,32.35788538,73.58467703
Phandar,36.1660129,72.80451854
Phelawagh,29.34400613,69.4653909
Pind Dadan Khan,32.59061788,72.96340321
Pindi Bhattian,31.9733893,73.37748095
Pindi Gheb,33.30522862,72.3126351
Piplan,32.3420289,71.43329533
Pir Mahal,30.7349061,72.44828127
Pishin,30.73286469,67.06614824
Pithoro,25.48781502,69.36039769
Prang Ghar,34.43702925,71.59642881
Punial,36.10389204,73.87357295
Puran,34.74219529,72.64929316
Qambar Ali Khan,27.55778517,67.61120747
Qasimabad,25.40641977,68.32070568
Quaidabad,32.31591511,71.96690905
Qubo Saeed Khan,27.80570336,67.56549434
Quetta City,30.08223315,67.14992795
Quetta Saddar,30.24908337,67.10014843
Rahim Yar Khan,28.48794858,70.33787581
Rajanpur,29.13433089,70.24670137
Rajanpur (Tribal Area),29.1593229,69.82694883
Rakhni,30.00950054,69.8614805
Rato Dero,27.77052178,68.25889438
Rawalakot,33.87308742,73.77643204
Rawalpindi,33.40541791,72.97904641
Razar,34.22594003,72.32311713
Razmak,32.73063399,69.84709466
Renala Khurd,30.94933975,73.66371958
Rohri,27.58816025,69.01047433
Rojhan,28.77783406,70.03576805
Rondu,35.58728773,75.15829268
Rustam,34.34408741,72.25753163
Saddar Town,24.8130148,67.04151768
Sadiqabad,28.25487778,70.0273988
Saeedabad,25.99166578,68.3863986
Safdarabad,31.75168463,73.61411298
Safi,34.56830813,71.23720703
Sahiwal,30.67018021,73.10994107
Sahiwal,31.88310328,72.39593611
Sakrand,26.13517789,68.24431106
Salarzai,34.87326434,71.52927152
Salehpat,27.34360282,69.29282256
Samahni,33.13457994,74.04790823
Samarbagh,34.94552071,71.64675993
Samaro,25.29897679,69.45697088
Sambrial,32.49807373,74.3194897
Sanghar,26.11165182,69.10303906
