asset_id,edge_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,hazard_flood,hazard_cyclone,hazard_strike,hazard_accident,exposure_flood,exposure_cyclone,exposure_strike,exposure_accident,vulnerability_flood,vulnerability_cyclone,vulnerability_strike,vulnerability_accident,risk_flood,risk_cyclone,risk_strike,risk_accident,risk_natural,risk_human,composite_risk,edge_betweenness,importance_score,network_criticality_risk,risk_tier,timestamp,analysis_date
access_32,access_32,station_14,rail_int_16,intermodal,station_rail,0.0046,30.0,0.000153,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
rail_2,rail_2,station_15,rail_int_1,rail,ML1,60.4473,80.0,0.755591,0.7163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.55,0.55,0.65,0.4656,0.0,0.0,0.0,0.4656,0.0,0.2794,0.0005569257697509747,0.0018,0.0005,LOW,20260427_163314,2026-04-27 16:33:25
access_33,access_33,station_15,rail_int_8,intermodal,station_rail,0.0127,30.0,0.000423,0.8038,0.0,0.0,0.0,0.6430726664319999,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.1809,0.0,0.0,0.0,0.1809,0.0,0.1085,0.0002386824727504177,0.0008,0.0001,LOW,20260427_163314,2026-04-27 16:33:25
access_34,access_34,station_16,rail_int_28,intermodal,station_rail,0.043,30.0,0.001433,0.4688,0.0,0.0,0.0,0.3751045068800001,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0615,0.0,0.0,0.0,0.0615,0.0,0.0369,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_35,access_35,station_17,rail_int_10,intermodal,station_rail,0.0051,30.0,0.00017,0.6633,0.0,0.0,0.0,0.5306508250559999,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.1232,0.0,0.0,0.0,0.1232,0.0,0.0739,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_36,access_36,station_18,rail_int_1,intermodal,station_rail,0.0221,30.0,0.000737,0.5487,0.0,0.0,0.0,0.43899880406400005,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0843,0.0,0.0,0.0,0.0843,0.0,0.0506,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_37,access_37,station_19,rail_int_25,intermodal,station_rail,0.0053,30.0,0.000177,0.5846,0.0,0.0,0.0,0.467689914816,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0957,0.0,0.0,0.0,0.0957,0.0,0.0574,0.0003978041212506962,0.0013,0.0001,LOW,20260427_163314,2026-04-27 16:33:25
bridge_2,bridge_2,station_19,road_9797,intermodal,bridge_access,0.3712,30.0,0.012373,0.5175,0.0,0.0,0.0,0.24876882431999997,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0451,0.0,0.0,0.0,0.0451,0.0,0.0271,0.0004773649455008354,0.0015,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_38,access_38,station_20,rail_int_2,intermodal,station_rail,0.0495,30.0,0.00165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_39,access_39,station_21,rail_int_52,intermodal,station_rail,0.3338,30.0,0.011127,0.5205,0.0,0.0,0.0,0.41695597728,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.076,0.0,0.0,0.0,0.076,0.0,0.0456,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
