edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
road_15422,road_15422,road_13468,road_13470,road,Motorway,1.1775,120.0,0.009813,5,0.00683379743814146,سوات موٹر وے
road_15423,road_15423,road_13469,road_13470,road,Motorway,0.0205,120.0,0.000171,5,1.5912164850027847e-07,سوات موٹر وے
road_15426,road_15426,road_13470,road_13471,road,Motorway,1.5237,120.0,0.012698,5,0.006754713978836821,سوات موٹر وے
road_16855,road_16855,road_13472,road_14286,road,Trunk,0.0771,100.0,0.000771,5,0.11890428832842709,Nowshera-Chitral Road
road_15437,road_15437,road_13475,road_13476,road,Trunk,0.1343,100.0,0.001343,5,0.034414511894343226,ہزارہ موٹروے
road_16611,road_16611,road_13475,road_14150,road,Trunk,0.226,100.0,0.00226,5,0.03449120852892036,ہزارہ موٹروے
road_15439,road_15439,road_13476,road_13477,road,Trunk,0.8656,100.0,0.008656,5,0.03433781525976609,ہزارہ موٹروے
road_17042,road_17042,road_13477,road_14373,road,Trunk,1.3414,100.0,0.013414,5,0.034261118625188956,ہزارہ موٹروے
road_17500,road_17500,road_13478,road_14633,road,Motorway,0.2716,120.0,0.002263,5,0.031140583976449997,ہزارہ موٹروے
road_22039,road_22039,road_13483,road_13484,road,Primary,0.031,80.0,0.000387,4,0.00015912164850027846,nan
road_15458,road_15458,road_13484,road_13485,road,Primary,5.4223,80.0,0.067779,4,7.956082425013923e-05,nan
road_15475,road_15475,road_13495,road_13496,road,Primary,0.037,80.0,0.000462,4,0.0003182432970005569,Choki Smahni Road
road_19993,road_19993,road_13495,road_15927,road,Primary,0.2587,80.0,0.003234,4,0.0003978041212506962,چوکی سماہنی روڈ
road_15482,road_15482,road_13496,road_13498,road,Primary,7.4626,80.0,0.093283,4,0.0002386824727504177,Choki Smahni Road
road_15478,road_15478,road_13497,road_13499,road,Primary,5.6042,80.0,0.070052,4,0.0006364865940011138,چوکی سماہنی روڈ
